name,ingredients,diet,flavor_profile,course,prep_time,cook_time,images
glazed doughnuts,"oil, sugar, milk, vanilla, eggs, yeast, butter",vegetarian,sweet,dessert,45,25,
bundia,"gram flour, ghee, sugar",vegetarian,sweet,dessert,80,30,
gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,15,60,
ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachios, saffron, green cardamom",vegetarian,sweet,dessert,15,30,
gulab jamun,"milk powder, flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,15,40,
amriti,"sugar syrup, flour",vegetarian,sweet,dessert,10,50,
jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,10,50,
kaju katli,"cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,10,20,
kalakand,"milk, cottage cheese, sugar",vegetarian,sweet,dessert,20,30,
kheer,"milk, rice, sugar, dry fruits",vegetarian,sweet,dessert,10,40,
laddu,"gram flour, ghee, sugar",vegetarian,sweet,dessert,10,40,
lassi,"yoghurt, milk, nuts, sugar",vegetarian,sweet,dessert,5,5,
nankhatai,"flour, besan, ghee, sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,20,30,
pitha,"pumpkin, sugar, lemon, alum powder",vegetarian,sweet,dessert,10,30,
firni,"rice, sugar, nuts",vegetarian,sweet,dessert,30,20,
rabree,"condensed milk, sugar, spices, nuts",vegetarian,sweet,dessert,10,45,
suji halwa,"semolina, ghee, nuts, milk",vegetarian,sweet,dessert,10,25,
singori,"khoya, coconut, molu leaf",vegetarian,sweet,dessert,10,20,
sohan halwa,"corn flour, ghee, dry fruits",vegetarian,sweet,dessert,10,60,
soha papri,"gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,45,60,
chena jalebi,"cheese, sugar, ghee",vegetarian,sweet,dessert,10,50,
condensed milk firni,"cheese, sugar, milk",vegetarian,sweet,dessert,20,60,
cheesecake,"sugar, cheese cheese",vegetarian,sweet,dessert,10,45,
cham cham ,"flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,dessert,40,60,
cottage cheese dumplings,"cheese, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,25,60,
baray gulab jamun,"cheese, sugar, ghee",vegetarian,sweet,dessert,45,45,
purified milk sweet,"flour, milk powder, sugar syrup",vegetarian,sweet,dessert,20,30,
banana milk pudding ,"banana, milk powder, sugar",vegetarian,sweet,dessert,10,120,
Fine grain,"besan, sugar, ghee",vegetarian,sweet,dessert,15,30,
panna cotta,"milk, jelly,sugar",vegetarian,sweet,dessert,480,30,
cottage cheese gulab jamun,"cheese, sugar, ghee, flour",vegetarian,sweet,dessert,45,45,
pithe,"rice flour, sugar, ghee",vegetarian,sweet,dessert,15,35,
condensed milk jamun,"cheese, milk, suagr",vegetarian,sweet,dessert,15,30,
ras malai,"cheese, milk, pistachios",vegetarian,sweet,dessert,180,60,
rasgulla,"cheese, sugar, cardamom",vegetarian,sweet,dessert,10,90,
patisa,"milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,30,20,
doughnut pastry,"rice flour, jaggery, ghee, oil, elachi, sugar",vegetarian,sweet,dessert,10,50,
riceballs,"rice flour, jaggery, ghee, sugar",vegetarian,sweet,dessert,15,75,
raisin ladoo,"besan, jaggery, cardamom powder, ghee, cashews, raisins, jaggery syrup, sugar",vegetarian,sweet,dessert,5,35,
katkati,"peanuts, jaggery, sugar",vegetarian,sweet,dessert,10,20,
sugar balss,"thickened milk, sugar",vegetarian,sweet,dessert,20,60,
shahi tukra,"bread, milk,strawberry",vegetarian,sweet,dessert,20,30,
sweet shells,"rice flour, sugar, salt, ghee, semolina",vegetarian,sweet,dessert,10,30,
barfi,"flour, sugar",vegetarian,sweet,dessert,10,30,
sweet fried dumplings,"black lentils, rice",vegetarian,sweet,dessert,10,20,
puff pastry ,"besan, semolina, mung bean, jaggery, coconut, milk powder, sugar, ghee",vegetarian,sweet,dessert,5,20,
methi paratha,"methi, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,dessert,180,60,
rice noodles,"rice flour, milk",vegetarian,sweet,dessert,10,25,
sweet daal balls,"chana daal, jaggery",vegetarian,sweet,dessert,240,60,https://media.istockphoto.com/id/1213871678/photo/mung-dal-bhajiya.jpg?b=1&s=170667a&w=0&k=20&c=anyrrfaoZeGCm8CPO9IjTJ_JjM4Yf8IQWa3aQUQ2ZAU=
sweet rice curd,"rice, jaggery, cashews, ghee",vegetarian,sweet,dessert,5,20,https://media.istockphoto.com/id/1066283008/photo/indian-thaali-meal.jpg?b=1&s=170667a&w=0&k=20&c=Uiw6kSNbLZGa5n0YDvXlF4_F_22XSswFeFGGRk9i2do=
rice sheets,"rice flour, sugar, ghee",vegetarian,sweet,dessert,10,60,https://media.istockphoto.com/id/485112656/photo/chinese-steamed-rice-rolls.jpg?b=1&s=170667a&w=0&k=20&c=tIb0PiO_owfdV7bNEbkattUKHfwbVQy1N4zqq6VCHFE=
khubani ka meetha,"apricots, sugar syrup",vegetarian,sweet,dessert,10,20,https://media.istockphoto.com/id/172900295/photo/close-up-of-clear-bowl-with-mango-mousse-dessert-and-garnish.jpg?b=1&s=170667a&w=0&k=20&c=aj1q4nuZTt3AUap1TPAOGcr0hpL5BHhV1zIJAab14jg=
sheer korma,"vermicelli, milk, coconut, dried fruits",vegetarian,sweet,dessert,10,20,https://media.istockphoto.com/id/469867501/photo/sheer-khorma-sewiya-a-sweet-dish.jpg?b=1&s=170667a&w=0&k=20&c=DGBG5VjRVB81l18Ts2fD6KGKbUuxl7BK2FFmMYk3HB8=
small rice cakes,"rice flour, banana, jaggery, coconut",vegetarian,sweet,dessert,10,20,https://media.istockphoto.com/id/1311306085/photo/brown-round-corn-balls.jpg?b=1&s=170667a&w=0&k=20&c=K8JxTknX6B_i3texSra9S4zWXhnukjwJvb-CVZltdNA=
coconut rice balls,"rice flour, jaggery, coconut",vegetarian,sweet,dessert,40,15,https://media.istockphoto.com/id/1388148140/photo/es-loder-the-icy-coconut-milk-dessert-with-custard-sago-pearls-and-rice-balls-from-bogor-west.jpg?b=1&s=170667a&w=0&k=20&c=kJ9sB61CnL1db7DnrpzP1ZTwgLjRIa31CdRDIo6yPRQ=
poppy seed sweet twisters,"rice flour, jaggery, poppy seeds",vegetarian,sweet,dessert,10,50,https://media.istockphoto.com/id/1360833013/photo/spoon-takes-hot-chocolate-swirl-whirlwind-tornado-chocolate-splash-temptation-of-melted.jpg?b=1&s=170667a&w=0&k=20&c=ExxOUzIH3vU1yjKOZUh4X2StBU8z5mJl7l0qwTmq-l4=
cardamom milk pudding,"sugar, milk, nuts",vegetarian,sweet,dessert,10,35,https://media.istockphoto.com/id/534974363/photo/flan.jpg?b=1&s=170667a&w=0&k=20&c=RHOuE3UqHsxbwngqyeiDgJ5DoEMS3lzmp9bU6pKu7iE=
jackfruit cake,"jackfruit,milk",vegetarian,sweet,dessert,10,50,https://media.istockphoto.com/id/1132428087/photo/jackfruit-pie.jpg?b=1&s=170667a&w=0&k=20&c=71-KLC6HHs9LYV9VNQHKGQ6ZdRl0UzuvLECp7-TF1AA=
doodhpak,"milk, rice, sugar, dry fruits",vegetarian,sweet,dessert,10,60,https://media.istockphoto.com/id/1317649946/photo/close-up-of-creamy-sabudana-kheer-garnished-with-dry-fruits-indian-delicious-dessert-served.jpg?b=1&s=170667a&w=0&k=20&c=405E_3-xse6QRl6V5DXCJKh5A4QLL3GpTevvek5ePqk=
zarda,"milk, sugar,saffron",vegetarian,sweet,dessert,10,25,https://media.istockphoto.com/id/1453499683/photo/zarda-or-jorda-rice-with-almond-khya-and-nuts-served-in-dish-isolated-on-table-top-view.jpg?b=1&s=170667a&w=0&k=20&c=pul_b_b0slExjxMvdiD_eQxRCCh36JBcNxFQzb9OAgU=
wheat dumplings,"wheat, coconut, jaggery ",vegetarian,sweet,dessert,10,15,https://media.istockphoto.com/id/1412634285/photo/closeup-of-female-pastry-chef-rolling-dough-pieces-for-baking-closeup-on-hands-of-bakery-chef.jpg?b=1&s=170667a&w=0&k=20&c=F0NiAlQKDI5i3Yp99JAiV3j86mPqJZyH8peCQZf_KLw=
shakarpari,"sugar, ghee, maida, semolina",vegetarian,sweet,dessert,10,35,https://media.istockphoto.com/id/1436421341/photo/shakarpara-shankarpali-diwali-sweets.jpg?b=1&s=170667a&w=0&k=20&c=FNoJqJqjSjcOzY7n4OYzAY7lVa-jQl48uCvG1XnHlS0=
saffron delight,"curd, sugar, saffron, cardamom",vegetarian,sweet,dessert,10,720,https://media.istockphoto.com/id/1408468776/photo/turkish-delight-with-saffron-and-almonds-at-carmel-market.jpg?b=1&s=170667a&w=0&k=20&c=CPSTL1ZZLHOFhw1ulUrIMAsey2uf7TQF7oqJuPhRuTw=
shredded pistachios curd,"maida, sugar, pistachios,yoghurt",vegetarian,sweet,dessert,15,55,https://media.istockphoto.com/id/1366924720/photo/burrata-salad-with-mandarin-oranges-and-pomegranate.jpg?b=1&s=170667a&w=0&k=20&c=Rrv1ZqO7SoiYc-F43lPi58WPcYIYe8KEyMq-sBaltEI=
fish curry,"fish, tomatoes, chillies, ginger, garlic",non vegetarian,spicy,main course,10,40,https://media.istockphoto.com/id/533699468/photo/tom-yum-kroong-soup.jpg?b=1&s=170667a&w=0&k=20&c=yygCxfjn8wfxtpkK8s8qImHLpFANCx9wh7flGOQKeS8=
bengan bharta,"brinjal, onions, chillies, ginger, garlic",non vegetarian,spicy,main course,30,30,https://media.istockphoto.com/id/506497605/photo/alu-bengan.jpg?b=1&s=170667a&w=0&k=20&c=ABJEeEc9epaliATAkULIAuhm5Kt1CTjJsn-wPZuHSFw=
mango kheer,"rice, milk, sugar, cardamom,mango",vegetarian,sweet,dessert,240,45,https://media.istockphoto.com/id/1318863029/photo/mango-flavored-phirni-served-in-glass-bowls.jpg?b=1&s=170667a&w=0&k=20&c=U3GO3s6nNHBBk3Tfq5lYuCHpAtuDNKqCTEFs0oIswlg=
spicy rice,"rice, salt, water, chillies",non vegetarian,spicy,main course,5,15,https://media.istockphoto.com/id/476541008/photo/saffron-rice-with-vegetables-and-cilantro.jpg?b=1&s=170667a&w=0&k=20&c=Bgd5rv10VCBDleUCAIzJKz9LVE3-RyvJhYSf7zxtR6M=
aloo gobi,"cauliflower, potatoes, garam masala, turmeric, curry leaves",vegetarian,spicy,main course,10,20,https://media.istockphoto.com/id/1323926123/photo/indian-vegan-aloo-gobi-dish-with-potatoes-and-cauliflower.jpg?b=1&s=170667a&w=0&k=20&c=ETY5JnMnFeFxd7xhAsU5MAl92knWXo32KqTBpYyDEhw=
aloo tikki,"rice flour, potatoes, bread crumbs, garam masala, salt",vegetarian,spicy,main course,5,20,https://media.istockphoto.com/id/1204866803/photo/indian-potato-patties-aloo-tikki-served-with-yogurt-close-up-in-a-dish-horizontal-top-view.jpg?b=1&s=170667a&w=0&k=20&c=ievCKFyIIaimUMMf12WXcrqeBIHKx4b7VTRU9pPUYGI=
aloo matar,"potatoes, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course,5,40,https://media.istockphoto.com/id/498120502/photo/aloo-mutter-curry-indian-food.jpg?b=1&s=170667a&w=0&k=20&c=yb1dI-ucNzFJ7HoMa_kCj6bD7f4tcvjttL8Z5eysxTc=
aloo methi,"potatoes, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course,10,40,https://media.istockphoto.com/id/1358749905/photo/indian-cuisine-aloo-methi-sabji-or-fenugreek-potato-sabji-served-in-a-karahi.jpg?b=1&s=170667a&w=0&k=20&c=_ra3UsnItTyZOiSzbL3ZFPlsXtSYSUE7UWaccdkMEx4=
aloo shimla mirch,"potatoes, shimla mirch, garam masala, amchur powder, salt",vegetarian,spicy,main course,10,40,https://media.istockphoto.com/id/1427586748/photo/shimla-mirch-aloo.jpg?b=1&s=170667a&w=0&k=20&c=Qu_IJHa4y6QrCiu2vLshyA_9KTIuXKjaagTPMj8Rh5o=
bhatura,"chickpeas, yoghurt, flour, baking soda",vegetarian,spicy,main course,20,20,https://media.istockphoto.com/id/1446439743/photo/chole-bhature-or-chick-pea-curry.jpg?b=1&s=170667a&w=0&k=20&c=N6NqT8XkHhw1u7brUmRb2tmRSJt6mcMP-oXsxKRmvWI=
bhindi masala,"ladies finger, garam masala, kasuri methi, tomatoes, chillies",vegetarian,spicy,main course,20,30,https://media.istockphoto.com/id/1444449131/photo/bhindi-masala-stir-fried-okra-with-indian-spices-ladyfinger-fry-copy-space-bhendi-ki-sabzi.jpg?b=1&s=170667a&w=0&k=20&c=4G8O9scALqTO2XcUg4FYKnChKC-16h1yhBYD69Fy6hE=
biryani,"chicken, rice, star anise, green chillies, biryani masala",non vegetarian,spicy,main course,30,120,https://media.istockphoto.com/id/509568543/photo/indian-food.jpg?b=1&s=170667a&w=0&k=20&c=6pyfySYOr4X2T1_zZ-XRa9wY15_1rVlfIDimXMPVVUE=
butter chicken,"chicken, greek yoghurt, cream, garam masala, cashews, butter",non vegetarian,spicy,main course,10,35,https://media.istockphoto.com/id/1373284422/photo/indian-creamy-butter-chicken-curry-with-paratha-bread-served-in-copper-bowl.jpg?b=1&s=170667a&w=0&k=20&c=-a2xzpgIy2fTbVYpcGHJK9hvvRBHEJ4gbzaoicKJxrY=
chana masala,"chickpeas, tomatoes, garam masala, ginger, onions, oil",vegetarian,spicy,main course,20,30,https://media.istockphoto.com/id/1419947738/photo/chonar-daal-or-dal-chana-chicken-gosht-with-onion-pepper-and-salad-served-in-a-dish-isolated.jpg?b=1&s=170667a&w=0&k=20&c=qZ7rhwu3p46CA9M4Mj4nZX7ucSoNjO8CZ_WZB6J-n18=
chapati,"flour, oil",vegetarian,other,main course,10,10,https://media.istockphoto.com/id/526846282/photo/traditional-indian-roti-ready-to-serve.jpg?b=1&s=170667a&w=0&k=20&c=dLaIl2U4zmOoC2T6mPdsGI4rvW4JFPtZdOf8DcMxo3o=
chicken garam masala,"chicken, yoghurt, sesame seeds, garam masala, cashews, saffron",non vegetarian,spicy,main course,10,35,https://images.unsplash.com/photo-1565557623262-b51c2513a641?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8Y2hpY2tlbiUyMGdhcmFtJTIwbWFzYWxhfGVufDB8fDB8fA%3D%3D&auto=format&fit=crop&w=500&q=60
chicken tikka masala,"naan, tomatoes, chicken, cream, garam masala",non vegetarian,spicy,main course,10,50,https://images.unsplash.com/photo-1610057099431-d73a1c9d2f2f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxzZWFyY2h8N3x8Y2hpY2tlbiUyMHRpa2thJTIwbWFzYWxhfGVufDB8fDB8fA%3D%3D&auto=format&fit=crop&w=500&q=60
chicken tikka,"chicken, bread, rice flour, garam masala, eggs",non vegetarian,spicy,starter,120,45,https://media.istockphoto.com/id/1311491582/photo/chilli-paneer-indian-snack-food.jpg?b=1&s=170667a&w=0&k=20&c=3H6Ho6Dwgr7lHSaew3qmxn7pfhx2UY8rAZ2uyzI7ui4=
chole bhature,"chole, garam masala, bay leaf, cinnamon stick",vegetarian,spicy,main course,20,30,https://media.istockphoto.com/id/1451834232/photo/chole-chawal-in-desposel.jpg?b=1&s=170667a&w=0&k=20&c=T9xRfVmi3heop9ut0YAaVU_1PFVTyJ7W-qegF01gSBQ=
daal baati churma,"moong daal, masoor daal, chana daal, flour, almonds",vegetarian,spicy,main course,10,90,https://media.istockphoto.com/id/1351914938/photo/dal-bati-a-traditional-indian-food-typically-prepared-in-rajasthan-so-called-rajasthani-food.jpg?b=1&s=170667a&w=0&k=20&c=Y13sOJAYM8zTx7tfSc_ZJ3-0k__zgv6OkPgxvYY7rOg=
daal puri,"moong daal, garam masala, garlic, green chillies, flour",vegetarian,spicy,main course,30,30,https://media.istockphoto.com/id/464757474/photo/bhelpuri-chat-item-india.jpg?b=1&s=170667a&w=0&k=20&c=ycakim7f4xE8fctzRgJlySLpyYP8cJWh4nDuRmLPMcI=
daal makhani ,"red kidney beans, urad daal, cream, garam masala, chillies",vegetarian,sweet,main course,10,60,https://media.istockphoto.com/id/1338259782/photo/image-of-metal-kadhai-style-serving-bowls-of-homemade-dal-makhani-curry-recipe-and-white-rice.jpg?b=1&s=170667a&w=0&k=20&c=IHQDbRrgQsbDABVu00IUztIdgj6IRjwFylWQPq9qi6I=
daal tarka,"peas, garam masala, ginger, onions, kasuri methi",vegetarian,spicy,main course,10,30,https://media.istockphoto.com/id/1134459558/photo/indian-dish-of-potato-and-french-beans.jpg?b=1&s=170667a&w=0&k=20&c=JrL723wLH2GrGrtCCf9zMIefvReOlEiZ-jJPuJJ2olE=
dum aloo,"potatoes, garam masala, cashews, kasuri methi, tomatoes",vegetarian,spicy,main course,20,50,https://media.istockphoto.com/id/1256914416/photo/dum-aloo-indian-food.jpg?b=1&s=170667a&w=0&k=20&c=HY48XrAlLqSW-amO-7bck81TKk8qzuaLM9fP_IxqbcU=
flattened rice ,"beaten rice flakes, potatoes, curry leaves, green chillies, lemon juice",vegetarian,spicy,snack,20,30,https://media.istockphoto.com/id/1252408718/photo/puffed-rice-poha-uncooked-or-raw-selective-focus.jpg?b=1&s=170667a&w=0&k=20&c=VvGjta1_PMg_cqP3pos8Cszm_TITmtZMHSlRSBg8_t0=
chanay papar,"chana daal, flour, arhar daal, urad daal, garam masala",vegetarian,spicy,snack,10,60,https://media.istockphoto.com/id/1250628291/photo/black-chickpea-chaat-or-kala-chana-chat-recipe.jpg?b=1&s=170667a&w=0&k=20&c=yvoBoknH-KjwwP0Kivltv0mBjuEWsFiuMVx5epmOtE8=
kachori,"moong daal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,snack,30,60,https://media.istockphoto.com/id/1399566543/photo/kachori-with-kadhi.jpg?b=1&s=170667a&w=0&k=20&c=KhY5zRmybWeECqyfdQ7d1VuepyNogYX-hr2nnKjeuoI=
karahi,"cottage cheese, bell peppers, gravy, garam masala, cashews",vegetarian,spicy,main course,20,30,https://media.istockphoto.com/id/1351251007/photo/overhead-shot-of-indian-culinary-in-little-pan.jpg?b=1&s=170667a&w=0&k=20&c=7dq0W6ap659TTTCfWAAoWt-pmVahA0x4YYXxfLp-wrM=
karhi,"besan, garam masala, gram flour, ginger, curry leaves",vegetarian,spicy,main course,10,60,https://media.istockphoto.com/id/1443660424/photo/homemade-punjabi-kadhi-pakora.jpg?b=1&s=170667a&w=0&k=20&c=tjL5rvd_ebKKs7Rt9xsZ8gZHSWXPDWJM84D8p8_HwUk=
karela bharta,"bitter gourd, fennel, garam masala, chillies, amchur powder",vegetarian,bitter,main course,20,50,https://media.istockphoto.com/id/856126390/photo/stuffed-bitter-gourd.jpg?b=1&s=170667a&w=0&k=20&c=u6Por0Y5aWrIMavVgPFUalZEyRoiONg7YXuzFOpv2wM=
khichri,"moong daal, green peas, ginger, tomatoes, green chillies",vegetarian,spicy,main course,40,20,https://media.istockphoto.com/id/1331625898/photo/khichdi-or-khichadi-a-popular-indian-recipe-the-food-is-made-of-dal-or-lentils-and-rice.jpg?b=1&s=170667a&w=0&k=20&c=q0BIswBYxgfyIDOihwMiXZZOYjSR904MPQp7X7j6ZT8=
kofta,"paneer, potatoes, cream, corn flour, garam masala",vegetarian,spicy,main course,20,40,https://media.istockphoto.com/id/1397648059/photo/malai-kofta-curry.jpg?b=1&s=170667a&w=0&k=20&c=Z8B84I7Z6Ct6DWdn-UOnjkspGBAFKE1Yym5D3ZBCd70=
kulfi falooda,"rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,sweet,dessert,45,25,https://media.istockphoto.com/id/1409874457/photo/mixed-falooda.jpg?b=1&s=170667a&w=0&k=20&c=8AfbgD8n5n21qLLWsPT2Ys-gD3-rKGgPaDg17Yqk3mo=
lauki kofte,"bottle gourd, garam masala, gram flour, ginger, chillies",vegetarian,spicy,main course,20,40,https://media.istockphoto.com/id/1429338836/photo/lauki-ke-kofte.jpg?b=1&s=170667a&w=0&k=20&c=LrslGZ2gjml8Us1KS9mTD8pBfOKiHfUchIy2Y-G47Eo=
lauki sabzi,"bottle gourd, oil, garam masala, ginger, green chillies",vegetarian,spicy,main course,10,20,https://media.istockphoto.com/id/1453118134/photo/lauki-doodhi-ki-sookhi-sabji-also-known-as-bottle-gourd-dry-curry-recipe.jpg?b=1&s=170667a&w=0&k=20&c=O4BEQZy-92XAHUkHDVNEiNTmmbvzF-nLPXRaUYRdPT0=
stuffed wheat balls,"flour, gram flour, tomatoes, nigella seeds, chillies",vegetarian,spicy,main course,45,60,https://media.istockphoto.com/id/1425897881/photo/meat-kibbeh-with-salad-served-in-a-dish-closeup-side-view-on-grey-background.jpg?b=1&s=170667a&w=0&k=20&c=kxFebaKsGAk0fIiMOeSyX1YT1xiOHVPtjDufXx5IY8E=
makki di roti sarson da saag,"mustard, makki flour, mustard green, garam masala, ginger",vegetarian,spicy,main course,25,30,https://media.istockphoto.com/id/1056466672/photo/sarson-da-saag.jpg?b=1&s=170667a&w=0&k=20&c=ljzULOQNkQbUZcrrOMksffbq8FSLoPP1fPFuXwh5FVk=
spicy roti,"flour, gram flour, green chillies",vegetarian,spicy,main course,30,30,https://media.istockphoto.com/id/996188546/photo/assorted-indian-food-for-lunch-or-dinner-rice-lentils-paneer-dal-makhani-naan-chutney-spices.jpg?b=1&s=170667a&w=0&k=20&c=fj6kMsslbI0riow0P3k-m4k78e7OCg0q8Bwg4JzcB4E=
mushrooms do pyaza,"mushrooms, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course,10,30,https://media.istockphoto.com/id/1449448871/photo/mushroom-do-pyaza.jpg?b=1&s=170667a&w=0&k=20&c=G-AKreOTuJtx-utSH5DrhiwEgeGw8T2GtYaEy1AFfGk=
mushrooms matar,"coconut milk, frozen green peas, mushrooms, garam masala, tomatoes",vegetarian,spicy,main course,10,30,https://media.istockphoto.com/id/910074096/photo/creamy-fenugreek-mushroom-peas-curry.jpg?b=1&s=170667a&w=0&k=20&c=n8fz0JM4J0r6-XBfm6yxb_MyAXGpdHgYMWXOOVPxlXI=
naan,"flour, honey, butter, garlic",vegetarian,other,main course,60,30,https://media.istockphoto.com/id/183564340/photo/close-up-photograph-of-a-pile-of-plain-naan-flatbreads.jpg?b=1&s=170667a&w=0&k=20&c=_nyPP-6adudkCLAR3eaYdDMc-AJ1IOEZItT5ADalnBg=
green beans korma,"green beans, potatoes, khus khus, low fat, garam masala",vegetarian,spicy,main course,25,40,https://media.istockphoto.com/id/928364712/photo/indian-vegetarian-curry-vegetable-korma-copyspace-top-view.jpg?b=1&s=170667a&w=0&k=20&c=DJ4OoTs990fJez5cbPFgZUFBAkueN6vGD-EQBTqI7ok=
palak paneer,"cottage cheese, palak, cream, garam masala, butter",vegetarian,spicy,main course,20,40,https://media.istockphoto.com/id/1396307254/photo/palak-paneer-and-tandoori-roti.jpg?b=1&s=170667a&w=0&k=20&c=sSeV1cpg4zSqc_X0Kf_dULQUVBIQdj_EtpFD3Dkx_v0=
